PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI,x_centroid,y_centroid
1.33154e+07,5.09886e+07,locality,HILLGROVE (NSW),22211,HILLGROVE (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.35557600520409,-35.043583874156774
1.33154e+07,5.09886e+07,locality,LOCKHART (NSW),22212,LOCKHART (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.76751328768987,-35.179494908893091
1.53058e+07,5.09886e+07,locality,BURRINJUCK (NSW),37089,BURRINJUCK (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.58059811000783,-35.001927301839693
1.33154e+07,5.09886e+07,locality,OURA (NSW),22213,OURA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.59870891574039,-35.082335709642457
1.33154e+07,5.09886e+07,locality,WEE JASPER (NSW),22214,WEE JASPER (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.66295281783118,-35.136922455697373
1.53058e+07,5.09886e+07,locality,NARRANGULLEN (NSW),37090,NARRANGULLEN (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.73220679275738,-35.044160147603243
1.33154e+07,5.09886e+07,locality,BOMEN (NSW),22215,BOMEN (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.43316303553939,-35.061383419524986
1.53058e+07,5.09886e+07,locality,CAVAN (NSW),37091,CAVAN (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.84806109864599,-35.048583078890616
1.3857e+07,5.09886e+07,locality,KARTE (SA),18313,KARTE (SA),SA,5734,2009-05-14,0,2016-07-06,140.78245807675779,-35.052608484284228
1.53058e+07,5.09886e+07,locality,BOAMBOLO (NSW),37092,BOAMBOLO (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.89207938747151,-35.013320714568302
1.53058e+07,5.09886e+07,locality,JEIR (NSW),37093,JEIR (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.95988352790175,-35.053952955162224
1.53058e+07,5.09886e+07,locality,MURRUMBATEMAN (NSW),37094,MURRUMBATEMAN (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.98413100057286,-35.002788952341525
1.33154e+07,5.09886e+07,locality,CHARLES STURT UNIVERSITY (NSW),22216,CHARLES STURT UNIVERSITY (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.35831077380993,-35.060511691089836
1.33154e+07,5.09886e+07,locality,KORALEIGH (NSW),14908,KORALEIGH (NSW),NSW,5684,2008-07-17,0,2016-07-06,143.44041526169312,-35.128553746302117
1.33154e+07,5.09886e+07,locality,EUNANOREENYA (NSW),22217,EUNANOREENYA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.47015712188201,-35.083008474004359
4.16208e+06,5.09886e+07,locality,TUTYE,1600,TUTYE,VIC,4897,2002-01-14,0,2016-07-06,141.48021503265937,-35.190089450149372
1.33154e+07,5.09886e+07,locality,FARGUNYAH (NSW),22218,FARGUNYAH (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.74475357212177,-35.123557687741254
4.16208e+06,5.09886e+07,locality,COWANGIE,1170,COWANGIE,VIC,4897,2002-01-14,0,2016-07-06,141.36522786630277,-35.188255860649321
1.33154e+07,5.09886e+07,locality,BOOROOMA (NSW),22219,BOOROOMA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.36699587877243,-35.071123172150394
1.33154e+07,5.09886e+07,locality,ESTELLA (NSW),22220,ESTELLA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.35083154298596,-35.075485031820662
1.33154e+07,5.09886e+07,locality,CARTWRIGHTS HILL (NSW),22221,CARTWRIGHTS HILL (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.39219052789068,-35.074972153613778
1.33154e+07,5.09886e+07,locality,CONARGO (NSW),22222,CONARGO (NSW),NSW,5684,2008-07-17,0,2016-07-06,145.17200619162230,-35.242741793570779
1.33154e+07,5.09886e+07,locality,NORTH WAGGA WAGGA (NSW),22223,NORTH WAGGA WAGGA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.38812115680267,-35.095595548775435
4.16208e+06,5.09886e+07,locality,MURRAYVILLE,1433,MURRAYVILLE,VIC,4897,2002-01-14,0,2016-07-06,141.20630153326542,-35.197714337445447
1.33154e+07,5.09886e+07,locality,MUNDARLO (NSW),22224,MUNDARLO (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.82000609001983,-35.124873792438905
4.16208e+06,5.09886e+07,locality,WOOD WOOD,11794,WOOD WOOD,VIC,4897,2002-01-14,0,2016-07-06,143.33293782229629,-35.101511932566105
1.3857e+07,5.09886e+07,locality,LAMEROO (SA),18314,LAMEROO (SA),SA,5734,2009-05-14,0,2016-07-06,140.55603050572955,-35.283185174995154
4.16208e+06,5.09886e+07,locality,COCAMBA,1159,COCAMBA,VIC,4897,2002-01-14,0,2016-07-06,142.90531737790516,-35.110810805641897
1.33154e+07,5.09886e+07,locality,MOORONG (NSW),22225,MOORONG (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.31243207729531,-35.111818347047453
1.33154e+07,5.09886e+07,locality,YARRAGUNDRY (NSW),22226,YARRAGUNDRY (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.22164563758841,-35.121474407316605
4.16208e+06,5.09886e+07,locality,LINGA,1357,LINGA,VIC,4897,2002-01-14,0,2016-07-06,141.68362607751570,-35.173970181000698
1.33154e+07,5.09886e+07,locality,WAGGA WAGGA (NSW),22227,WAGGA WAGGA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.35983638288036,-35.108172593473299
1.33154e+07,5.09886e+07,locality,DILPURRA (NSW),14909,DILPURRA (NSW),NSW,5684,2008-07-17,0,2016-07-06,143.70141727836790,-35.185821202659959
4.16208e+06,5.09886e+07,locality,CARINA,1140,CARINA,VIC,4897,2002-01-14,0,2016-07-06,141.09512727828323,-35.214244008178973
4.16209e+06,5.09886e+07,locality,MIRALIE,1407,MIRALIE,VIC,4897,2002-01-14,0,2016-07-06,143.32308044635437,-35.127883563192839
1.33154e+07,5.09886e+07,locality,BORAMBOLA (NSW),22228,BORAMBOLA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.68665603520151,-35.153541686368939
1.33154e+07,5.09886e+07,locality,FOREST HILL (NSW),22229,FOREST HILL (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.46521385875135,-35.151336001100240
1.33154e+07,5.09886e+07,locality,TUMBLONG (NSW),22230,TUMBLONG (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.98250128594762,-35.142909129967791
4.16209e+06,5.09886e+07,locality,NYAH,11305,NYAH,VIC,4897,2002-01-14,0,2016-07-06,143.36368422586298,-35.148727932386919
1.33155e+07,5.09886e+07,locality,BELFRAYDEN (NSW),22231,BELFRAYDEN (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.05530878001233,-35.116511075456437
1.33155e+07,5.09886e+07,locality,GUMLY GUMLY (NSW),22232,GUMLY GUMLY (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.43181358687943,-35.132062824309067
4.15998e+06,5.25526e+07,locality,CHAPPLE VALE,12674,CHAPPLE VALE,VIC,4897,2002-01-14,0,2017-02-01,143.29594190286588,-38.633744106341567
1.33155e+07,5.09886e+07,locality,DHURAGOON (NSW),14910,DHURAGOON (NSW),NSW,5684,2008-07-17,0,2016-07-06,144.10789526327397,-35.209510581091948
4.15996e+06,5.25526e+07,locality,KENNEDYS CREEK,7082,KENNEDYS CREEK,VIC,4897,2002-01-14,0,2017-02-01,143.25084082490460,-38.598718906543461
1.33155e+07,5.09886e+07,locality,SAN ISIDORE (NSW),22233,SAN ISIDORE (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.28947051532421,-35.124761539397028
1.33155e+07,5.09886e+07,locality,COURAGAGO (NSW),22234,COURAGAGO (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.49268551681007,-35.106430760707092
1.33155e+07,5.09886e+07,locality,ALFREDTOWN (NSW),22235,ALFREDTOWN (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.54118802815472,-35.153258582425508
4.15996e+06,5.25526e+07,locality,BEECH FOREST,120,BEECH FOREST,VIC,4712,2002-01-14,0,2017-02-01,143.59253806970941,-38.634736675017528
1.33155e+07,5.09886e+07,locality,EAST WAGGA WAGGA (NSW),22236,EAST WAGGA WAGGA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.40249495740974,-35.129572043142787
1.53058e+07,5.09886e+07,locality,MULLION (NSW),37095,MULLION (NSW),NSW,5817,2011-06-23,0,2016-07-06,148.87505705032655,-35.143603364336187
1.33155e+07,5.09886e+07,locality,ASHMONT (NSW),22237,ASHMONT (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.33170414156240,-35.124718108151875
1.33155e+07,5.09886e+07,locality,SPEEWA (NSW),14911,SPEEWA (NSW),NSW,5684,2008-07-17,0,2016-07-06,143.55419452623818,-35.191378366150204
1.33155e+07,5.09886e+07,locality,TURVEY PARK (NSW),22238,TURVEY PARK (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.36191858873383,-35.127256133232514
1.33155e+07,5.09886e+07,locality,KOORINGAL (NSW),22239,KOORINGAL (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.37682626482490,-35.140476467568156
1.33155e+07,5.09886e+07,locality,GLENFIELD PARK (NSW),22240,GLENFIELD PARK (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.33255375703212,-35.136993660560620
1.33155e+07,5.09886e+07,locality,COREE (NSW),22241,COREE (NSW),NSW,5684,2008-07-17,0,2016-07-06,145.49769487104868,-35.312777077761268
1.33155e+07,5.09886e+07,locality,NIEMUR (NSW),14912,NIEMUR (NSW),NSW,5684,2008-07-17,0,2016-07-06,144.30786150959020,-35.237777434203835
1.33155e+07,5.09886e+07,locality,MOUNT AUSTIN (NSW),22242,MOUNT AUSTIN (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.35563820799328,-35.136857199739985
4.16005e+06,5.25526e+07,locality,IRREWILLIPE,12651,IRREWILLIPE,VIC,4897,2002-01-14,0,2017-02-01,143.41801320899185,-38.453102835644955
4.16002e+06,5.25526e+07,locality,KAWARREN,436,KAWARREN,VIC,4712,2002-01-14,0,2017-02-01,143.61276170264350,-38.496889229950575
4.16e+06,5.25526e+07,locality,GELLIBRAND,353,GELLIBRAND,VIC,4712,2002-01-14,0,2017-02-01,143.56479944328001,-38.534875867191225
4.15999e+06,5.25526e+07,locality,CARLISLE RIVER,5575,CARLISLE RIVER,VIC,4897,2002-01-14,0,2017-02-01,143.41737431738855,-38.565443070921482
4.15999e+06,5.25526e+07,locality,COORIEMUNGLE,12667,COORIEMUNGLE,VIC,4897,2002-01-14,0,2017-02-01,143.13616152383617,-38.559689268124089
4.15997e+06,5.25526e+07,locality,PRINCETOWN,12678,PRINCETOWN,VIC,4897,2002-01-14,0,2017-02-01,143.17194513990319,-38.651407967260297
1.53057e+07,5.09884e+07,locality,PAN BAN (NSW),37061,PAN BAN (NSW),NSW,5817,2011-06-23,0,2016-07-06,143.16858676198083,-33.168087756086869
1.53057e+07,5.09884e+07,locality,MOORARA (NSW),37062,MOORARA (NSW),NSW,5817,2011-06-23,0,2016-07-06,142.61650675035619,-33.083007710388685
1.33153e+07,5.09884e+07,locality,MENINDEE (NSW),22156,MENINDEE (NSW),NSW,5684,2008-07-17,0,2016-07-06,142.49823963298530,-33.006153769110433
1.33153e+07,5.09884e+07,locality,POONCARIE (NSW),22155,POONCARIE (NSW),NSW,5684,2008-07-17,0,2016-07-06,142.42454893055839,-33.441253877442691
1.33153e+07,5.09884e+07,locality,SCOTIA (NSW),22157,SCOTIA (NSW),NSW,5684,2008-07-17,0,2016-07-06,141.42120719905779,-33.204623452031292
