city,lat,lng,country,iso2,admin_name,capital,population,population_proper,source
Sydney,-33.8678,151.21,Australia,AU,New South Wales,admin,4840600,4840600,https://simplemaps.com/data/au-cities
Melbourne,-37.8142,144.9631,Australia,AU,Victoria,admin,4529500,4529500,https://simplemaps.com/data/au-cities
Brisbane,-27.4678,153.0281,Australia,AU,Queensland,admin,2360241,2360241,https://simplemaps.com/data/au-cities
Perth,-31.9559,115.8606,Australia,AU,Western Australia,admin,2141834,2141834,https://simplemaps.com/data/au-cities
Adelaide,-34.9275,138.6,Australia,AU,South Australia,admin,1295714,1295714,https://simplemaps.com/data/au-cities
Gold Coast,-28.0167,153.4,Australia,AU,Queensland,,638090,638090,https://simplemaps.com/data/au-cities
Cranbourne,-38.0996,145.2834,Australia,AU,Victoria,,460491,460491,https://simplemaps.com/data/au-cities
Canberra,-35.2931,149.1269,Australia,AU,Australian Capital Territory,primary,381488,381488,https://simplemaps.com/data/au-cities
Central Coast,-33.3,151.2,Australia,AU,New South Wales,,346596,346596,https://simplemaps.com/data/au-cities
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,261896,261896,https://simplemaps.com/data/au-cities
Hobart,-42.8806,147.325,Australia,AU,Tasmania,admin,222356,222356,https://simplemaps.com/data/au-cities
Geelong,-38.15,144.35,Australia,AU,Victoria,,184182,184182,https://simplemaps.com/data/au-cities
Townsville,-19.25,146.8167,Australia,AU,Queensland,,178649,173724,https://simplemaps.com/data/au-cities
Ipswich,-27.6167,152.7667,Australia,AU,Queensland,,163000,163000,https://simplemaps.com/data/au-cities
Newcastle,-32.9167,151.75,Australia,AU,New South Wales,,152984,152984,https://simplemaps.com/data/au-cities
Cairns,-16.92,145.78,Australia,AU,Queensland,,146778,146778,https://simplemaps.com/data/au-cities
Darwin,-12.4381,130.8411,Australia,AU,Northern Territory,admin,136828,136828,https://simplemaps.com/data/au-cities
Toowoomba,-27.5667,151.95,Australia,AU,Queensland,,135631,108398,https://simplemaps.com/data/au-cities
Launceston,-41.4419,147.145,Australia,AU,Tasmania,,106153,106153,https://simplemaps.com/data/au-cities
Ballarat,-37.5608,143.8475,Australia,AU,Victoria,,98543,98543,https://simplemaps.com/data/au-cities
