PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
1.33154e+07,5.09886e+07,locality,HILLGROVE (NSW),22211,HILLGROVE (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,LOCKHART (NSW),22212,LOCKHART (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.53058e+07,5.09886e+07,locality,BURRINJUCK (NSW),37089,BURRINJUCK (NSW),NSW,5817,2011-06-23,0,2016-07-06
1.33154e+07,5.09886e+07,locality,OURA (NSW),22213,OURA (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,WEE JASPER (NSW),22214,WEE JASPER (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.53058e+07,5.09886e+07,locality,NARRANGULLEN (NSW),37090,NARRANGULLEN (NSW),NSW,5817,2011-06-23,0,2016-07-06
1.33154e+07,5.09886e+07,locality,BOMEN (NSW),22215,BOMEN (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.53058e+07,5.09886e+07,locality,CAVAN (NSW),37091,CAVAN (NSW),NSW,5817,2011-06-23,0,2016-07-06
1.3857e+07,5.09886e+07,locality,KARTE (SA),18313,KARTE (SA),SA,5734,2009-05-14,0,2016-07-06
1.53058e+07,5.09886e+07,locality,BOAMBOLO (NSW),37092,BOAMBOLO (NSW),NSW,5817,2011-06-23,0,2016-07-06
1.53058e+07,5.09886e+07,locality,JEIR (NSW),37093,JEIR (NSW),NSW,5817,2011-06-23,0,2016-07-06
1.53058e+07,5.09886e+07,locality,MURRUMBATEMAN (NSW),37094,MURRUMBATEMAN (NSW),NSW,5817,2011-06-23,0,2016-07-06
1.33154e+07,5.09886e+07,locality,CHARLES STURT UNIVERSITY (NSW),22216,CHARLES STURT UNIVERSITY (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,KORALEIGH (NSW),14908,KORALEIGH (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,EUNANOREENYA (NSW),22217,EUNANOREENYA (NSW),NSW,5684,2008-07-17,0,2016-07-06
4.16208e+06,5.09886e+07,locality,TUTYE,1600,TUTYE,VIC,4897,2002-01-14,0,2016-07-06
1.33154e+07,5.09886e+07,locality,FARGUNYAH (NSW),22218,FARGUNYAH (NSW),NSW,5684,2008-07-17,0,2016-07-06
4.16208e+06,5.09886e+07,locality,COWANGIE,1170,COWANGIE,VIC,4897,2002-01-14,0,2016-07-06
1.33154e+07,5.09886e+07,locality,BOOROOMA (NSW),22219,BOOROOMA (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,ESTELLA (NSW),22220,ESTELLA (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,CARTWRIGHTS HILL (NSW),22221,CARTWRIGHTS HILL (NSW),NSW,5684,2008-07-17,0,2016-07-06
1.33154e+07,5.09886e+07,locality,CONARGO (NSW),22222,CONARGO (NSW),NSW,5684,2008-07-17,0,2016-07-06
